timestamp,x,y,z,qx,qy,qz,qw
1670332780.929298,0.188393,0.162851,0.0939856,0.608096,-0.366093,0.362076,-0.604232
1670332780.979321,0.191316,0.168346,0.0962705,0.60858,-0.364983,0.361746,-0.604614
1670332781.029368,0.19425,0.174326,0.0976104,0.609082,-0.363736,0.361338,-0.605104
1670332781.079315,0.195184,0.178178,0.0984021,0.609668,-0.362663,0.360462,-0.605679
1670332781.129385,0.194383,0.180198,0.098722,0.610328,-0.361737,0.359177,-0.606331
1670332781.179327,0.196006,0.182031,0.0992262,0.611038,-0.3607,0.357697,-0.607108
1670332781.229340,0.199798,0.183702,0.0998973,0.611793,-0.35956,0.356037,-0.607999
1670332781.279301,0.201826,0.183465,0.0992055,0.61248,-0.358521,0.354419,-0.608867
1670332781.329398,0.202328,0.181566,0.0973257,0.613108,-0.357564,0.352834,-0.609717
1670332781.379316,0.203342,0.178759,0.0957942,0.613577,-0.356749,0.351297,-0.61061
1670332781.429277,0.204813,0.175138,0.094564,0.613907,-0.356055,0.349798,-0.611543
1670332781.479376,0.20721,0.169202,0.0955744,0.614321,-0.355243,0.348288,-0.61246
1670332781.529417,0.210386,0.161318,0.0984848,0.614804,-0.354332,0.346775,-0.613361
1670332781.579306,0.212485,0.151244,0.10256,0.614208,-0.354573,0.344999,-0.61482
1670332781.629352,0.213674,0.139228,0.10766,0.612676,-0.355801,0.342984,-0.616762
1670332781.679265,0.214379,0.124059,0.102382,0.610331,-0.35594,0.341442,-0.619855
1670332781.729321,0.214667,0.106099,0.0881941,0.607269,-0.355141,0.340291,-0.62394
1670332781.779300,0.213561,0.0887386,0.0813992,0.607411,-0.351549,0.339312,-0.626365
1670332781.829336,0.21123,0.0718499,0.0809745,0.61032,-0.345521,0.338473,-0.627345
1670332781.879321,0.210597,0.0530805,0.0756462,0.613108,-0.339986,0.336685,-0.62861
1670332781.930139,0.211475,0.0322816,0.065816,0.615837,-0.334798,0.334009,-0.630153
1670332781.979316,0.211302,0.0112191,0.0625131,0.620004,-0.328598,0.330104,-0.631387
1670332782.029435,0.210225,-0.0110722,0.0643378,0.625494,-0.32127,0.325002,-0.63239
1670332782.079338,0.20864,-0.0315401,0.068583,0.630969,-0.314074,0.320348,-0.63294
1670332782.129359,0.206611,-0.0505907,0.0749034,0.636461,-0.306942,0.316045,-0.633103
1670332782.179296,0.20768,-0.0751656,0.0822446,0.641043,-0.301965,0.312138,-0.632812
1670332782.229327,0.211486,-0.104634,0.0905205,0.644867,-0.29887,0.308576,-0.632143
1670332782.279327,0.213776,-0.134805,0.0888284,0.646089,-0.299685,0.307579,-0.630994
1670332782.329334,0.214772,-0.165594,0.0785817,0.645085,-0.303854,0.308782,-0.629438
1670332782.379319,0.222503,-0.19064,0.0790705,0.642978,-0.311187,0.31095,-0.626939
1670332782.429322,0.235995,-0.210807,0.0887892,0.639862,-0.321229,0.313924,-0.623571
1670332782.479294,0.24834,-0.230533,0.0918799,0.638138,-0.328325,0.318038,-0.619543
1670332782.529386,0.259744,-0.249916,0.0892173,0.637649,-0.332873,0.323172,-0.614946
1670332782.579294,0.273443,-0.26886,0.0891529,0.636928,-0.336224,0.328644,-0.610958
1670332782.629493,0.289307,-0.287575,0.0914,0.635998,-0.338546,0.334467,-0.607475
1670332782.679318,0.301985,-0.303526,0.0906227,0.634315,-0.340134,0.340856,-0.604789
1670332782.729420,0.31212,-0.317337,0.0872948,0.631971,-0.34112,0.347793,-0.602736
1670332782.779266,0.327934,-0.329731,0.0860401,0.628119,-0.344197,0.353219,-0.601857
1670332782.829298,0.348706,-0.34104,0.0865199,0.622939,-0.349078,0.357394,-0.601964
1670332782.879246,0.36411,-0.353711,0.0881549,0.61876,-0.353183,0.360805,-0.601845
1670332782.929261,0.37484,-0.367604,0.0908178,0.615465,-0.356621,0.36356,-0.601538
1670332782.979318,0.386914,-0.381009,0.087596,0.613881,-0.358074,0.365232,-0.601281
1670332783.029361,0.400125,-0.393976,0.0794168,0.613755,-0.357854,0.365994,-0.601077
1670332783.079322,0.410861,-0.40733,0.0741563,0.613755,-0.358018,0.365251,-0.601431
1670332783.129348,0.419513,-0.421048,0.0713732,0.613861,-0.358509,0.36322,-0.60226
1670332783.179270,0.427562,-0.435435,0.070248,0.614006,-0.358156,0.360382,-0.604025
1670332783.229351,0.435135,-0.450465,0.0705235,0.614177,-0.357085,0.356843,-0.606581
1670332783.279329,0.440456,-0.467061,0.0726132,0.615259,-0.3537,0.352287,-0.61012
1670332783.329349,0.443824,-0.485077,0.0762599,0.617092,-0.34831,0.346831,-0.61448
1670332783.379265,0.446861,-0.504554,0.075942,0.620214,-0.341002,0.341494,-0.618413
1670332783.429325,0.449593,-0.52537,0.072317,0.624379,-0.332053,0.33621,-0.621976
1670332783.479307,0.451234,-0.547987,0.063536,0.627525,-0.327648,0.332579,-0.623098
1670332783.529277,0.452017,-0.572086,0.0504404,0.629866,-0.327072,0.330353,-0.622221
1670332783.579299,0.456029,-0.593762,0.0458277,0.631272,-0.327211,0.329419,-0.621218
1670332783.629348,0.462875,-0.6133,0.0486569,0.631861,-0.327979,0.329617,-0.620108
1670332783.679318,0.469249,-0.633415,0.0500174,0.631873,-0.328699,0.330513,-0.619237
1670332783.729302,0.475214,-0.654072,0.0500838,0.631375,-0.329378,0.332026,-0.618574
1670332783.779356,0.476183,-0.675722,0.0509579,0.63053,-0.329598,0.333218,-0.618679
1670332783.829321,0.472908,-0.698151,0.0525137,0.629392,-0.329426,0.334133,-0.619435
1670332783.879330,0.476251,-0.717904,0.0562638,0.628638,-0.327596,0.335167,-0.620611
1670332783.929313,0.485246,-0.735343,0.0618821,0.628209,-0.324343,0.336299,-0.622139
1670332783.979329,0.489247,-0.753212,0.0646771,0.627367,-0.322198,0.337145,-0.623644
1670332784.029343,0.488993,-0.771437,0.0650676,0.626176,-0.320998,0.337748,-0.625132
1670332784.079296,0.488602,-0.787347,0.0663203,0.625355,-0.321823,0.338213,-0.625279
1670332784.129254,0.488092,-0.801293,0.0683116,0.624846,-0.324384,0.338559,-0.624275
1670332784.179275,0.49037,-0.812547,0.073227,0.624516,-0.327869,0.338726,-0.622693
1670332784.229328,0.495079,-0.821445,0.0806943,0.624334,-0.332156,0.338733,-0.620596
1670332784.279331,0.499584,-0.830262,0.0837369,0.623508,-0.336122,0.339313,-0.618972
1670332784.329355,0.503915,-0.839019,0.0828342,0.622107,-0.339806,0.340404,-0.61777
1670332784.379302,0.507166,-0.845346,0.0871104,0.620317,-0.342573,0.341743,-0.617302
1670332784.429302,0.509507,-0.849613,0.095822,0.618194,-0.344563,0.343298,-0.617462
1670332784.479329,0.509959,-0.851348,0.0980426,0.616353,-0.345715,0.344222,-0.618144
